country,prod_t_est_2023,market share (%)
World total (rounded),350000.0,49.76397656827618
China,240000.0,34.12386964681795
United States,43000.0,6.1138599783882155
Burma,38000.0,5.402946027412843
Australia,18000.0,2.559290223511346
Thailand,7100.0,1.009497810385031
India,2900.0,0.41233009156571687
Russia,2600.0,0.36967525450719446
Madagascar,960.0,0.13649547858727182
Vietnam,600.0,0.08530967411704488
Brazil,80.0,0.011374623215605983
Malaysia,80.0,0.011374623215605983
Greenland,0.0,0.0
Canada,0.0,0.0
South Africa,0.0,0.0
Tanzania,0.0,0.0
